Product SKU	Product Name	Product Description	Model	Category	Type
24431692	Moleskine Classic Professional Notebook, Hydrangea Blue	Moleskine Classic Professional Notebooks, 7.5" x 9.75", Narrow Ruled, 192 Sheets, Hydrangea Blue (851014)	851014	Office Supplies	Personal
24439529	White Trifold Foam Board	White Trifold Foam Board		Office Supplies	Business
24448550	Elkay Water Soluble Bag, 36" x 39", Transparent Green, 100/Box (WSB2633)	Elkay Water Soluble Bag, 36" x 39", Transparent Green, 100/Box (WSB2633)		Inventory	Business
24452173	Puffs Ultra Soft Facial Tissues, 3 Boxes/Pack	Puffs Ultra Soft Facial Tissues, 124 Tissues/Box, 3 Boxes/Pack (35520)	35520	Inventory	Personal
24453272	j5create 100W USB-C Super Charger	j5create USB-C Super Charger, Black (JUP2290)	JUP2290	Inventory	Business
24459955	HP 134x Black High Yield Toner Cartridge (W1340X)	HP 134x Black High Yield Toner Cartridge, Prints Up to 2,400 pages (W1340X)	W1340X	Office Supplies	Business
24461600	JLab Studio On-Ear Headphones, Black	JLab Studio On-Ear Headphones, Black (HASTUDIORBLK4)	HASTUDIORBLK4	Inventory	Personal
24462152	Smead ETS 2021 Color-Coded Year Label, 0.5” x 1", White/Blue, 25 Labels/Sheet, 10 Sheets/Pack, 250 Labels/Pack (67921)	Smead ETS 2021 Color-Coded Year Label, 0.5” x 1", White/Blue, 25 Labels/Sheet, 10 Sheets/Pack, 250 Labels/Pack (67921)	67921	Office Supplies	Business
24463350	Avery Water-Resistant Laser/Inkjet ID Labels, 1-1/4" x 3-1/2", Assorted Border Colors, 4 Labels/Sheet, 20 Labels/Pack (41413)	Avery Water-Resistant Laser/Inkjet ID Labels on 4" x 6" Sheets, 1-1/4" x 3-1/2", Assorted Border Colors, 20 Labels/Pack (41413)	41413	Office Supplies	Business
24474492	Five Star Zipper Mesh Pouch	Five Star Zipper Mesh Pouch, Black/Gray/Green/Yellow/Red/Blue/Pink (50782)	50782	Office Supplies	Personal
24476692	Elmer's Jumbo School Glue Sticks	Elmer's Jumbo School Glue Washable Glue Sticks, 0.77 oz. (E578)	E578	Office Supplies	Personal
24479671	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 32 Rolls/Case (49209)	Scott Toilet Paper, 1-ply, White, 32,000 Sheets/Roll, 32 Rolls/Case (49209)	49209/54350	Inventory	Business
24484507	Ring Quick-Release Replacement Battery for Ring Video Doorbell 2 (8AB1S7-0EN0)	Ring Quick-Release Replacement Battery for Ring Video Doorbell 2 (8AB1S7-0EN0)	5892396	Inventory	Personal
24488838	Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)	Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)	451U-4	Inventory	Personal
24489891	Apple AirTag	Apple AirTag Bluetooth Tracker (MX532AM/A)	MX532AM/A	Inventory	Personal
24489892	Apple AirTag, 4/Pack	Apple AirTag Tracker, 4/Pack (MX542AM/A)	MX542AM/A	Inventory	Personal
24490936	Mind the Gap Game	Mind the Gap Game		Inventory	Personal
24491722	PlayStation 5 Console	PlayStation 5 Console		Inventory	Personal
24516904	Logitech Signature M650 L Wireless Ergonomic Optical Mouse, Classic Red	Logitech Signature M650 L Wireless Ergonomic Optical Mouse, Classic Red (910-006358)	910-006358	Office Supplies	Personal
24520586	TP-LINK Archer AX4400 Dual Band MU-MIMO Gaming Router	TP-LINK Archer AX4400 Dual Band MU-MIMO Gaming Router, Black (ARCHER AX4400)	ARCHER AX4400	Inventory	Personal
24520588	TP-LINK Archer AX1500 Dual Band MU-MIMO Gaming Router	TP-LINK Archer AX1500 Dual Band MU-MIMO Gaming Router, Black (ARCHER AX1500)	ARCHER AX1500	Inventory	Personal
24523425	Command Adjustables Spring Clips	Command Adjustables Spring Clips		Office Supplies	Business
